Sigma_VH,Sigma_VV,Gamma_VH,Gamma_VV,Beta_VH,Beta_VV,Gamma_VH_RTC,Gamma_VV_RTC,Sigma_sum,Gamma_sum,Beta_sum,Gamma_RTC_sum,Sigma_diff,Gamma_diff,Beta_diff,Gamma_RTC_diff,Sigma_ratio,Gamma_ratio,Beta_ratio,Gamma_RTC_ratio,LIA,IAFE,Elevation,Slope,sin_Aspect,cos_Aspect
-19.740852,-12.99704,-18.434069,-11.690266,-18.017374,-11.27355,-17.321411,-10.65539,0.06076777,0.08210145,0.09036954,0.10452188,-0.039538026,-0.053418547,-0.058798224,-0.067463286,-6.743812,-6.7438025,-6.743824,-6.666021,50.146935,42.249084,3267.4634,12.992701,0.6327287,-0.7743736
-19.643448,-12.92642,-18.336637,-11.61962,-17.920002,-11.202963,-17.172626,-10.5203,0.06183072,0.083538085,0.0919496,0.107884556,-0.040119454,-0.054204434,-0.059662446,-0.06953439,-6.7170286,-6.717019,-6.71704,-6.6523266,52.24886,42.24976,3266.209,14.279352,0.5249794,-0.8511149
-19.580814,-12.976426,-18.273973,-11.669588,-17.857407,-11.253015,-17.11346,-10.550908,0.06140484,0.082963385,0.09131532,0.10752458,-0.03937819,-0.053203408,-0.05855944,-0.068648376,-6.604388,-6.604386,-6.6043925,-6.562553,53.210373,42.250477,3264.8809,14.202331,0.46653023,-0.8845053
-20.05542,-13.995334,-18.748678,-12.688589,-18.331892,-12.271809,-17.628403,-11.874057,0.049726717,0.06718374,0.07395071,0.08221699,-0.029980317,-0.040505186,-0.044584986,-0.04768753,-6.0600863,-6.060088,-6.0600843,-5.754345,51.35848,42.248444,3267.6848,13.048202,0.98986983,-0.14197807
-19.88069,-13.1892,-18.573906,-11.88242,-18.157213,-11.465719,-17.337461,-10.582719,0.058260716,0.07871434,0.08664108,0.10590457,-0.037703656,-0.050940275,-0.056070156,-0.06898268,-6.69149,-6.691485,-6.691496,-6.7547426,52.241013,42.249134,3265.542,12.609897,0.87929004,-0.47628665
-19.712875,-12.994587,-18.406061,-11.68778,-17.989437,-11.271137,-17.136482,-10.4278,0.060864702,0.08223303,0.090512864,0.109954484,-0.039497755,-0.05336455,-0.058737807,-0.07128381,-6.7182894,-6.7182803,-6.718299,-6.7086816,53.17557,42.249836,3263.9326,13.213827,0.68329805,-0.73013955
-19.481401,-12.937416,-18.174553,-11.630572,-17.758003,-11.214013,-16.960567,-10.405011,0.06211452,0.08392236,0.092370525,0.111230515,-0.03957785,-0.053473238,-0.058856264,-0.07096129,-6.543985,-6.5439816,-6.54399,-6.5555553,53.388325,42.25054,3262.6902,13.677014,0.528991,-0.84862745
-19.388283,-12.751632,-18.081396,-11.444736,-17.664934,-11.028292,-16.735739,-10.2115345,0.06458105,0.08725586,0.096037164,0.11645037,-0.04155594,-0.05614654,-0.061796937,-0.07404156,-6.636651,-6.6366587,-6.6366425,-6.5242047,50.23442,42.251244,3261.5579,13.885736,0.44709024,-0.8944889
-19.494186,-12.991009,-18.187252,-11.684061,-17.770891,-11.26773,-17.184807,-10.598885,0.061457813,0.083037,0.091391385,0.1062401,-0.038987383,-0.05267678,-0.057976425,-0.06799733,-6.503177,-6.5031905,-6.5031614,-6.5859203,47.35074,42.251892,3260.5151,13.319268,0.3693896,-0.9292746
-19.00943,-13.178667,-17.702444,-11.871676,-17.286196,-11.45544,-17.155289,-11.108555,0.060660653,0.08196076,0.09020485,0.09672376,-0.03553675,-0.048015006,-0.05284454,-0.05822017,-5.830763,-5.8307686,-5.830755,-6.046734,47.541668,42.25252,3259.845,11.908751,0.2719907,-0.9622999
